country,year,annual_number_of_hours_actually_worked_per_person
arg,1990,2013
arg,1997,2017
arg,1999,1820
arg,2012,2048
arm,2009,1826
arm,2010,1873
arm,2011,1842
aus,1980,1836
aus,1981,1819
aus,1982,1802
aus,1983,1791
aus,1984,1801
aus,1985,1792
aus,1986,1799
aus,1987,1797
aus,1988,1802
aus,1989,1805
aus,1990,1780
aus,1991,1775
aus,1992,1774
aus,1993,1787
aus,1994,1798
aus,1995,1793
aus,1996,1782
aus,1997,1784
aus,1998,1769
aus,1999,1779
aus,2000,1779
aus,2001,1736
aus,2002,1731
aus,2003,1736
aus,2004,1736
aus,2005,1730
aus,2006,1720
aus,2007,1711
aus,2008,1717
aus,2009,1690
aus,2010,1692
aus,2011,1699
aus,2012,1678
aus,2013,1663
aus,2014,1664
aut,1995,1783
aut,1996,1816
aut,1997,1825
aut,1998,1803
aut,1999,1807
aut,2000,1807
aut,2001,1795
aut,2002,1792
aut,2003,1784
aut,2004,1787
aut,2005,1764
aut,2006,1746
aut,2007,1736
aut,2008,1729
aut,2009,1673
aut,2010,1665
aut,2011,1670
aut,2012,1649
aut,2013,1629
aut,2014,1629
bgd,1994,2301
bel,1980,1707
bel,1981,1683
bel,1982,1669
bel,1983,1675
bel,1984,1699
bel,1985,1705
bel,1986,1685
bel,1987,1670
bel,1988,1658
bel,1989,1649
bel,1990,1663
bel,1991,1626
bel,1992,1603
bel,1993,1559
bel,1994,1559
bel,1995,1585
bel,1996,1559
bel,1997,1572
bel,1998,1583
bel,1999,1582
bel,2000,1594
bel,2001,1588
bel,2002,1582
bel,2003,1578
bel,2004,1572
bel,2005,1565
bel,2006,1575
bel,2007,1579
bel,2008,1572
bel,2009,1554
bel,2010,1560
bel,2011,1572
bel,2012,1573
bel,2013,1576
bra,1990,1796
bra,1997,1759
bra,1999,1689
can,1980,1827
can,1981,1812
can,1982,1789
can,1983,1779
can,1984,1789
can,1985,1795
can,1986,1797
can,1987,1807
can,1988,1808
can,1989,1802
can,1990,1797
can,1991,1775
can,1992,1772
can,1993,1769
can,1994,1778
can,1995,1775
can,1996,1790
can,1997,1785
can,1998,1782
can,1999,1781
can,2000,1779
can,2001,1771
can,2002,1754
can,2003,1740
can,2004,1760
can,2005,1747
can,2006,1745
can,2007,1741
can,2008,1734
can,2009,1702
can,2010,1703
can,2011,1700
can,2012,1713
can,2013,1708
can,2014,1704
chl,1996,2313
chl,1997,2256
chl,1998,2299
chl,1999,2277
chl,2000,2263
chl,2001,2242
chl,2002,2250
chl,2003,2235
chl,2004,2232
chl,2005,2157
chl,2006,2165
chl,2007,2128
chl,2008,2095
chl,2009,2074
chl,2010,2068
chl,2011,2047
chl,2012,2024
chl,2013,2015
chl,2014,1990
col,1991,1976
col,1995,1960
col,1999,1911
cri,1990,1861
cri,1997,1866
cri,1999,1870
cri,2010,2321
cri,2011,2354
cri,2012,2287
cri,2013,2223
cri,2014,2216
cze,1993,1857
cze,1994,1839
cze,1995,1858
cze,1996,1852
cze,1997,1858
cze,1998,1877
cze,1999,1893
cze,2000,1896
cze,2001,1818
cze,2002,1816
cze,2003,1806
cze,2004,1817
cze,2005,1817
cze,2006,1799
cze,2007,1784
cze,2008,1790
cze,2009,1779
cze,2010,1800
cze,2011,1806
cze,2012,1776
cze,2013,1763
cze,2014,1776
dnk,1980,1592
dnk,1981,1560
dnk,1982,1566
dnk,1983,1558
dnk,1984,1552
dnk,1985,1538
dnk,1986,1542
dnk,1987,1510
dnk,1988,1491
dnk,1989,1473
dnk,1990,1457
dnk,1991,1451
dnk,1992,1470
dnk,1993,1470
dnk,1994,1431
dnk,1995,1440
dnk,1996,1433
dnk,1997,1449
dnk,1998,1463
dnk,1999,1479
dnk,2000,1490
dnk,2001,1493
dnk,2002,1487
dnk,2003,1482
dnk,2004,1481
dnk,2005,1474
dnk,2006,1479
dnk,2007,1456
dnk,2008,1450
dnk,2009,1446
dnk,2010,1436
dnk,2011,1455
dnk,2012,1443
dnk,2013,1438
dnk,2014,1436
ecu,1990,1771
ecu,1995,1943
ecu,1998,1923
slv,1990,1939
slv,1997,1841
slv,1998,1849
est,2000,1978
est,2001,1970
est,2002,1973
est,2003,1978
est,2004,1986
est,2005,2008
est,2006,2001
est,2007,1998
est,2008,1968
est,2009,1831
est,2010,1875
est,2011,1919
est,2012,1886
est,2013,1866
est,2014,1859
fji,1994,1952
fin,1980,1849
fin,1981,1855
fin,1982,1840
fin,1983,1823
fin,1984,1814
fin,1985,1813
fin,1986,1793
fin,1987,1798
fin,1988,1806
fin,1989,1802
fin,1990,1769
fin,1991,1747
fin,1992,1753
fin,1993,1755
fin,1994,1775
fin,1995,1776
fin,1996,1775
fin,1997,1765
fin,1998,1754
fin,1999,1757
fin,2000,1742
fin,2001,1723
fin,2002,1714
fin,2003,1705
fin,2004,1707
fin,2005,1697
fin,2006,1693
fin,2007,1691
fin,2008,1685
fin,2009,1661
fin,2010,1668
fin,2011,1662
fin,2012,1650
fin,2013,1643
fin,2014,1645
fra,1980,1823
fra,1981,1803
fra,1982,1730
fra,1983,1712
fra,1984,1705
fra,1985,1670
fra,1986,1665
fra,1987,1677
fra,1988,1686
fra,1989,1670
fra,1990,1665
fra,1991,1655
fra,1992,1656
fra,1993,1641
fra,1994,1630
fra,1995,1605
fra,1996,1606
fra,1997,1596
fra,1998,1583
fra,1999,1572
fra,2000,1535
fra,2001,1526
fra,2002,1487
fra,2003,1484
fra,2004,1513
fra,2005,1507
fra,2006,1484
fra,2007,1500
fra,2008,1507
fra,2009,1489
fra,2010,1494
fra,2011,1496
fra,2012,1490
fra,2013,1474
fra,2014,1473
pyf,2011,1752
deu,1991,1554
deu,1992,1565
deu,1993,1542
deu,1994,1537
deu,1995,1528
deu,1996,1511
deu,1997,1500
deu,1998,1494
deu,1999,1479
deu,2000,1452
deu,2001,1442
deu,2002,1431
deu,2003,1425
deu,2004,1422
deu,2005,1411
deu,2006,1425
deu,2007,1424
deu,2008,1418
deu,2009,1373
deu,2010,1390
deu,2011,1393
deu,2012,1374
deu,2013,1363
deu,2014,1371
grc,1983,2186
grc,1984,2113
grc,1985,2131
grc,1986,2119
grc,1987,2076
grc,1988,2064
grc,1989,2107
grc,1990,2084
grc,1991,2115
grc,1992,2143
grc,1993,2164
grc,1994,2129
grc,1995,2111
grc,1996,2109
grc,1997,2108
grc,1998,2108
grc,1999,2105
grc,2000,2108
grc,2001,2101
grc,2002,2093
grc,2003,2091
grc,2004,2083
grc,2005,2136
grc,2006,2125
grc,2007,2111
grc,2008,2106
grc,2009,2081
grc,2010,2019
grc,2011,2131
grc,2012,2058
grc,2013,2060
grc,2014,2042
hnd,1990,1857
hnd,1997,1804
hnd,1999,1816
hkg,1992,2287
hun,1980,2194
hun,1981,2193
hun,1982,2100
hun,1983,2080
hun,1984,2008
hun,1985,1981
hun,1986,1972
hun,1987,2016
hun,1988,2010
hun,1989,1985
hun,1990,1945
hun,1991,1913
hun,1992,1870
hun,1993,1870
hun,1994,2001
hun,1995,2006
hun,1996,2000
hun,1997,2023
hun,1998,2023
hun,1999,2040
hun,2000,2033
hun,2001,1993
hun,2002,2005
hun,2003,1978
hun,2004,1986
hun,2005,1987
hun,2006,1984
hun,2007,1979
hun,2008,1982
hun,2009,1963
hun,2010,1958
hun,2011,1976
hun,2012,1889
hun,2013,1880
hun,2014,1858
isl,1991,2007
isl,1992,2007
isl,1993,2025
isl,1994,1991
isl,1995,1975
isl,1996,1996
isl,1997,2026
isl,1998,2003
isl,1999,1979
isl,2000,2040
isl,2001,2053
isl,2002,2012
isl,2003,1973
isl,2004,1979
isl,2005,1970
isl,2006,1958
isl,2007,1932
isl,2008,1934
isl,2009,1849
isl,2010,1834
isl,2011,1878
isl,2012,1853
isl,2013,1846
isl,2014,1864
irl,1983,1981
irl,1984,1964
irl,1985,1970
irl,1986,2003
irl,1987,1984
irl,1988,1991
irl,1989,1998
irl,1990,1988
irl,1991,1954
irl,1992,1908
irl,1993,1883
irl,1994,1883
irl,1995,1875
irl,1996,1882
irl,1997,1832
irl,1998,1953
irl,1999,1942
irl,2000,1933
irl,2001,1924
irl,2002,1904
irl,2003,1887
irl,2004,1875
irl,2005,1883
irl,2006,1879
irl,2007,1865
irl,2008,1844
irl,2009,1812
irl,2010,1801
irl,2011,1801
irl,2012,1806
irl,2013,1815
irl,2014,1821
isr,1995,1995
isr,1996,2017
isr,1997,2027
isr,1998,2003
isr,1999,2003
isr,2000,2017
isr,2001,1979
isr,2002,1993
isr,2003,1974
isr,2004,1942
isr,2005,1931
isr,2006,1919
isr,2007,1931
isr,2008,1929
isr,2009,1927
isr,2010,1918
isr,2011,1920
isr,2012,1910
isr,2013,1867
isr,2014,1853
ita,1980,1859
ita,1981,1865
ita,1982,1877
ita,1983,1876
ita,1984,1865
ita,1985,1862
ita,1986,1870
ita,1987,1890
ita,1988,1893
ita,1989,1877
ita,1990,1867
ita,1991,1860
ita,1992,1863
ita,1993,1863
ita,1994,1857
ita,1995,1856
ita,1996,1866
ita,1997,1860
ita,1998,1874
ita,1999,1870
ita,2000,1851
ita,2001,1838
ita,2002,1827
ita,2003,1816
ita,2004,1815
ita,2005,1812
ita,2006,1813
ita,2007,1818
ita,2008,1807
ita,2009,1776
ita,2010,1777
ita,2011,1773
ita,2012,1734
ita,2013,1733
ita,2014,1734
jpn,1980,2121
jpn,1981,2106
jpn,1982,2104
jpn,1983,2095
jpn,1984,2108
jpn,1985,2093
jpn,1986,2097
jpn,1987,2096
jpn,1988,2092
jpn,1989,2070
jpn,1990,2031
jpn,1991,1998
jpn,1992,1965
jpn,1993,1905
jpn,1994,1898
jpn,1995,1884
jpn,1996,1892
jpn,1997,1865
jpn,1998,1842
jpn,1999,1810
jpn,2000,1821
jpn,2001,1809
jpn,2002,1798
jpn,2003,1799
jpn,2004,1787
jpn,2005,1775
jpn,2006,1784
jpn,2007,1785
jpn,2008,1771
jpn,2009,1714
jpn,2010,1733
jpn,2011,1728
jpn,2012,1745
jpn,2013,1734
jpn,2014,1729
kor,1980,2864
kor,1981,2880
kor,1982,2893
kor,1983,2911
kor,1984,2907
kor,1985,2882
kor,1986,2911
kor,1987,2880
kor,1988,2834
kor,1989,2731
kor,1990,2677
kor,1991,2661
kor,1992,2639
kor,1993,2656
kor,1994,2640
kor,1995,2648
kor,1996,2637
kor,1997,2582
kor,1998,2488
kor,1999,2495
kor,2000,2512
kor,2001,2499
kor,2002,2464
kor,2003,2424
kor,2004,2392
kor,2005,2351
kor,2006,2346
kor,2007,2306
kor,2008,2246
kor,2009,2232
kor,2010,2187
kor,2011,2090
kor,2012,2163
kor,2013,2079
kor,2014,2124
lux,1983,1805
lux,1984,1790
lux,1985,1795
lux,1986,1786
lux,1987,1784
lux,1988,1806
lux,1989,1794
lux,1990,1794
lux,1991,1775
lux,1992,1752
lux,1993,1759
lux,1994,1736
lux,1995,1747
lux,1996,1719
lux,1997,1706
lux,1998,1700
lux,1999,1697
lux,2000,1690
lux,2001,1674
lux,2002,1663
lux,2003,1658
lux,2004,1614
lux,2005,1597
lux,2006,1608
lux,2007,1544
lux,2008,1584
lux,2009,1628
lux,2010,1643
lux,2011,1607
lux,2012,1615
lux,2013,1649
lux,2014,1643
mys,1994,2244
mus,2012,2065
mex,1990,1767
mex,1991,2242
mex,1993,2241
mex,1995,2294
mex,1996,2314
mex,1997,2322
mex,1998,2291
mex,1999,2306
mex,2000,2311
mex,2001,2285
mex,2002,2271
mex,2003,2277
mex,2004,2271
mex,2005,2281
mex,2006,2281
mex,2007,2262
mex,2008,2260
mex,2009,2253
mex,2010,2242
mex,2011,2250
mex,2012,2226
mex,2013,2237
mex,2014,2228
npl,1994,1955
nld,1980,1553
nld,1981,1553
nld,1982,1539
nld,1983,1524
nld,1984,1516
nld,1985,1499
nld,1986,1485
nld,1987,1464
nld,1988,1461
nld,1989,1456
nld,1990,1451
nld,1991,1442
nld,1992,1448
nld,1993,1438
nld,1994,1445
nld,1995,1479
nld,1996,1494
nld,1997,1480
nld,1998,1477
nld,1999,1476
nld,2000,1462
nld,2001,1452
nld,2002,1435
nld,2003,1427
nld,2004,1448
nld,2005,1434
nld,2006,1430
nld,2007,1430
nld,2008,1430
nld,2009,1422
nld,2010,1421
nld,2011,1422
nld,2012,1426
nld,2013,1421
nld,2014,1425
nzl,1986,1834
nzl,1987,1838
nzl,1988,1829
nzl,1989,1820
nzl,1990,1809
nzl,1991,1792
nzl,1992,1799
nzl,1993,1853
nzl,1994,1848
nzl,1995,1841
nzl,1996,1834
nzl,1997,1826
nzl,1998,1829
nzl,1999,1845
nzl,2000,1836
nzl,2001,1825
nzl,2002,1826
nzl,2003,1823
nzl,2004,1830
nzl,2005,1815
nzl,2006,1795
nzl,2007,1774
nzl,2008,1761
nzl,2009,1740
nzl,2010,1755
nzl,2011,1746
nzl,2012,1734
nzl,2013,1752
nzl,2014,1762
nic,1993,1788
nic,1997,1927
nic,1999,1943
nor,1980,1580
nor,1981,1570
nor,1982,1559
nor,1983,1553
nor,1984,1548
nor,1985,1542
nor,1986,1538
nor,1987,1511
nor,1988,1513
nor,1989,1511
nor,1990,1503
nor,1991,1500
nor,1992,1510
nor,1993,1507
nor,1994,1505
nor,1995,1488
nor,1996,1483
nor,1997,1478
nor,1998,1476
nor,1999,1473
nor,2000,1455
nor,2001,1429
nor,2002,1414
nor,2003,1401
nor,2004,1421
nor,2005,1423
nor,2006,1420
nor,2007,1426
nor,2008,1430
nor,2009,1407
nor,2010,1415
nor,2011,1421
nor,2012,1420
nor,2013,1408
nor,2014,1427
pak,1994,1723
pan,1990,1710
pan,1997,1751
pan,1999,1734
pry,1990,2029
pry,1997,1890
per,1991,1964
per,1997,2005
per,1998,2091
pol,2000,1988
pol,2001,1974
pol,2002,1979
pol,2003,1984
pol,2004,1983
pol,2005,1994
pol,2006,1985
pol,2007,1976
pol,2008,1969
pol,2009,1948
pol,2010,1940
pol,2011,1938
pol,2012,1929
pol,2013,1918
pol,2014,1923
prt,1980,2005
prt,1981,1993
prt,1982,1982
prt,1983,1970
prt,1984,1959
prt,1985,1947
prt,1986,1936
prt,1987,1952
prt,1988,1951
prt,1989,1972
prt,1990,1959
prt,1991,1887
prt,1992,1825
prt,1993,1827
prt,1994,1835
prt,1995,1893
prt,1996,1894
prt,1997,1890
prt,1998,1905
prt,1999,1907
prt,2000,1917
prt,2001,1900
prt,2002,1894
prt,2003,1887
prt,2004,1893
prt,2005,1895
prt,2006,1883
prt,2007,1900
prt,2008,1887
prt,2009,1887
prt,2010,1890
prt,2011,1867
prt,2012,1849
prt,2013,1852
prt,2014,1857
rus,1992,1933
rus,1993,1939
rus,1994,1895
rus,1995,1891
rus,1996,1894
rus,1997,1951
rus,1998,1946
rus,1999,1964
rus,2000,1982
rus,2001,1980
rus,2002,1982
rus,2003,1993
rus,2004,1993
rus,2005,1989
rus,2006,1998
rus,2007,1999
rus,2008,1997
rus,2009,1974
rus,2010,1976
rus,2011,1979
rus,2012,1982
rus,2013,1980
rus,2014,1985
svk,1995,1853
svk,1996,1820
svk,1997,1830
svk,1998,1822
svk,1999,1816
svk,2000,1816
svk,2001,1801
svk,2002,1754
svk,2003,1698
svk,2004,1742
svk,2005,1769
svk,2006,1774
svk,2007,1791
svk,2008,1793
svk,2009,1780
svk,2010,1805
svk,2011,1793
svk,2012,1789
svk,2013,1772
svk,2014,1763
svn,1995,1645
svn,1996,1619
svn,1997,1604
svn,1998,1615
svn,1999,1616
svn,2000,1605
svn,2001,1591
svn,2002,1614
svn,2003,1616
svn,2004,1627
svn,2005,1590
svn,2006,1562
svn,2007,1551
svn,2008,1566
svn,2009,1569
svn,2010,1580
svn,2011,1557
svn,2012,1537
svn,2013,1550
svn,2014,1561
esp,1980,1936
esp,1981,1902
esp,1982,1880
esp,1983,1848
esp,1984,1803
esp,1985,1793
esp,1986,1785
esp,1987,1777
esp,1988,1773
esp,1989,1761
esp,1990,1763
esp,1991,1772
esp,1992,1764
esp,1993,1756
esp,1994,1755
esp,1995,1755
esp,1996,1750
esp,1997,1750
esp,1998,1754
esp,1999,1754
esp,2000,1753
esp,2001,1763
esp,2002,1765
esp,2003,1756
esp,2004,1742
esp,2005,1726
esp,2006,1716
esp,2007,1704
esp,2008,1713
esp,2009,1720
esp,2010,1710
esp,2011,1717
esp,2012,1704
esp,2013,1699
esp,2014,1689
lka,1994,2288
swe,1980,1517
swe,1981,1508
swe,1982,1523
swe,1983,1532
swe,1984,1534
swe,1985,1538
swe,1986,1536
swe,1987,1546
swe,1988,1566
swe,1989,1565
swe,1990,1561
swe,1991,1548
swe,1992,1565
swe,1993,1597
swe,1994,1635
swe,1995,1640
swe,1996,1653
swe,1997,1658
swe,1998,1656
swe,1999,1665
swe,2000,1642
swe,2001,1618
swe,2002,1595
swe,2003,1582
swe,2004,1605
swe,2005,1605
swe,2006,1599
swe,2007,1612
swe,2008,1617
swe,2009,1609
swe,2010,1635
swe,2011,1632
swe,2012,1618
swe,2013,1607
swe,2014,1609
che,1991,1673
che,1992,1685
che,1993,1686
che,1994,1706
che,1995,1686
che,1996,1659
che,1997,1649
che,1998,1657
che,1999,1678
che,2000,1674
che,2001,1636
che,2002,1614
che,2003,1627
che,2004,1657
che,2005,1652
che,2006,1643
che,2007,1633
che,2008,1623
che,2009,1615
che,2010,1613
che,2011,1607
che,2012,1592
che,2013,1576
che,2014,1568
tha,1994,2228
tls,2010,2409
tur,1980,1957
tur,1981,1950
tur,1982,1943
tur,1983,1935
tur,1984,1871
tur,1985,1898
tur,1986,1883
tur,1987,1844
tur,1988,1837
tur,1989,1867
tur,1990,1866
tur,1991,1870
tur,1992,1897
tur,1993,1917
tur,1994,1886
tur,1995,1876
tur,1996,1892
tur,1997,1878
tur,1998,1884
tur,1999,1925
tur,2000,1937
tur,2001,1942
tur,2002,1943
tur,2003,1943
tur,2004,1918
tur,2005,1936
tur,2006,1944
tur,2007,1911
tur,2008,1900
tur,2009,1881
tur,2010,1877
tur,2011,1864
tur,2012,1855
tur,2013,1832
are,2007,2743
are,2008,2694
are,2009,2951
gbr,1980,1767
gbr,1981,1710
gbr,1982,1725
gbr,1983,1711
gbr,1984,1727
gbr,1985,1760
gbr,1986,1763
gbr,1987,1752
gbr,1988,1792
gbr,1989,1780
gbr,1990,1765
gbr,1991,1762
gbr,1992,1727
gbr,1993,1721
gbr,1994,1731
gbr,1995,1731
gbr,1996,1731
gbr,1997,1731
gbr,1998,1726
gbr,1999,1716
gbr,2000,1700
gbr,2001,1705
gbr,2002,1684
gbr,2003,1674
gbr,2004,1674
gbr,2005,1673
gbr,2006,1669
gbr,2007,1677
gbr,2008,1659
gbr,2009,1651
gbr,2010,1652
gbr,2011,1625
gbr,2012,1654
gbr,2013,1669
gbr,2014,1677
usa,1980,1813
usa,1981,1804
usa,1982,1801
usa,1983,1820
usa,1984,1838
usa,1985,1836
usa,1986,1828
usa,1987,1833
usa,1988,1837
usa,1989,1849
usa,1990,1831
usa,1991,1818
usa,1992,1820
usa,1993,1829
usa,1994,1837
usa,1995,1844
usa,1996,1835
usa,1997,1846
usa,1998,1846
usa,1999,1847
usa,2000,1836
usa,2001,1814
usa,2002,1810
usa,2003,1800
usa,2004,1802
usa,2005,1799
usa,2006,1800
usa,2007,1797
usa,2008,1791
usa,2009,1767
usa,2010,1777
usa,2011,1786
usa,2012,1789
usa,2013,1788
usa,2014,1789
ury,1990,1788
ury,1997,1743
ury,1999,1722
ven,1997,1743
ven,1999,1673
